id,statistic_description,production_practice_description,naics_description,year,coefficient_of_variance,value
14,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,,2012,6,489383000
46,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,,2012,1.6,218157000
53,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,,2012,8.9,174297000
42,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,,2012,1.9,943395000
34,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,,2012,4.7,632859000
56,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,,2012,24.3,8063000
33,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,,2012,2.1,2419709000
19,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,,2012,3,12228676000
22,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,,2012,4.1,60182000
36,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,,2012,3.4,4610462000
13,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,,2012,6.8,2239182000
65,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,,2012,2.1,1356475000
23,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,,2012,3.7,5500152000
49,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,,2012,5.2,5468044000
20,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,,2012,2.7,1375000
16,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,,2012,8.1,351653000
64,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,,2012,30.2,199000
40,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,,2012,6,3814000
27,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,,2012,2.4,1955556000
63,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,,2012,2.3,22758045000
21,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,,2012,1.8,120552373000
69,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,,2012,8.2,39717000
28,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,,2012,2.9,16624257000
70,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,,2012,1.7,29924687000
51,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,,2012,5.3,255631000
37,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,,2012,2.2,25346460000
55,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,,2012,1.6,2865136000
60,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,,2012,1.5,200168398000
12,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,,2012,2.8,8365288000
68,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,,2012,3.1,13001412000
62,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,,2012,1.7,15835107000
25,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,,2012,1.8,22950865000
